OptimNumber,lambda0,lambda1,mu0,mu1,rho,q01,q10,e0,e1,nloglike,Comments
487,1.307282358,0.001149322,1.235444527,0.013338223,0.025158849,0.044740997,0.022638426,12.60540613,6746.032752,13879.78388,
208,0.128486033,0.072110511,0.003331479,0.057744125,0.020218952,0.015212578,0.00582355,5091774.397,0.08826553,13884.17981,
122,0.131616379,0.041082476,1.58E-05,0.048162335,0.029087173,0.015128111,0.004063454,4881663.886,1.561383427,13892.62795,
202,0.185988803,0.034055826,1.34E-06,0.030851305,0.025903069,0.014494404,0.013097234,188411.9735,25156289.53,13906.92068,
367,0.152389264,0.025114952,0.00011467,0.021685731,0.028761597,0.017696655,0.008903445,0.010703127,389.7978318,13909.01213,
148,0.012054932,0.008184572,0.047935861,0.044775325,0.026362177,0.031742514,0.023594305,61.62052779,448028.5994,13909.69259,
142,1.96E-08,3.54E-06,0.206866076,0.003681797,0.02485682,0.060232606,0.010929753,2211.718569,0.000386629,13919.74946,
280,0.000395372,0.000175227,0.580266265,0.03723561,0.020637281,0.02458095,0.019469396,30319.55874,8.187009964,13928.11763,
178,0.06269135,0.111709909,0.292546605,0.000297098,0.01807778,0.032307758,0.011804058,2792.617921,0.501128178,13928.22366,
47,0.191667969,0.017018383,0.001326871,0.012394244,0.025516031,0.049121476,0.011541297,105664.3692,13.99281365,13941.95768,
429,0.000750176,0.058461519,0.244598636,6.87E-09,0.035114067,0.021574285,0.015906427,27890292774,211.3689355,13950.45327,
243,0.089841827,0.053185614,0.001889128,0.060876513,0.014907002,0.012546772,0.004452322,314961.0291,24736.90264,13976.19089,
99,0.000798251,0.008605015,0.226212427,0.029639269,0.016046193,0.042395143,0.019283129,113.2736754,119698659,13996.43182,
83,1.40536378,0.003230291,1.430269092,1.19E-07,0.011178734,0.042097822,0.02354613,0.022657231,3957867.787,13999.16792,
29,0.152142876,4.51E-10,0.0002115,0.085699375,0.029346211,0.016046465,0.007041812,1093705025,55641545.42,14008.20512,
26,0.001548195,7.47E-07,0.240626295,3.07E-06,0.014988583,0.046957485,0.045032769,107204.0807,6048438219,14031.17014,
227,0.008693276,0.172939566,0.101776418,0.147212614,0.026571164,0.006772426,0.008432256,37223.53105,0.162485992,14057.73629,
404,0.002344545,0.044068182,0.13672065,0.000331323,0.022824642,0.024171414,0.005243401,0.000659482,1692825.164,14062.11325,
163,0.167748585,0.058656954,2.82E-07,0.097915926,0.028540662,0.013636053,0.009916034,6629263.195,20329.2653,14062.15574,
233,0.000232312,0.011492763,0.153878635,7.36E-06,0.024285373,0.120874538,0.113574096,23857.51183,7999.830145,14082.27223,
33,4.038003291,2.96E-05,4.191761254,0.001269903,0.011050376,0.044359668,0.028047407,0.926705704,70631.5449,14100.62952,
312,0.158390634,0.093383283,0.066155559,0.000312728,0.009381039,0.011589387,0.013383427,422.9095081,1090717.328,14110.02575,
500,0.082392883,0.196235217,0.03222012,0.032129451,0.034538235,0.014779739,0.000337601,0.69111962,7.519682563,14113.39746,
382,0.174371261,0.003722619,0.141246679,5.66E-07,0.029634324,0.055062951,0.05580883,0.00244305,19204740.46,14123.06466,
465,4.90E-06,0.000461211,0.296760345,2.51E-09,0.018237881,0.059194151,0.027244307,7.75E-13,30265447.26,14128.29536,
277,0.066959097,0.06193251,0.068787941,8.60E-11,0.020239502,0.024658355,0.00745667,0.138511418,1036030604,14145.59446,
4,0.397053169,0.008328093,0.454782701,0.005391861,0.046353591,0.072921224,0.063800489,160.488073,119.5452159,14154.87754,
151,0.108947226,0.0196667,0.215076171,7.25E-05,0.013467173,0.125692889,0.14917088,309.9120027,0.967131539,14155.721,
424,0.185836729,1.66E-07,9.80E-09,0.008923214,0.038227212,0.037289365,0.025421997,28.86377247,2953.388015,14168.35508,
118,0.130039116,0.004527559,0.071898012,0.108958707,0.032244217,0.014014138,0.002508613,11.04279791,266068780.5,14202.36567,
7,4.296498251,0.003972212,4.538779495,0.032679266,0.012330478,0.01843001,0.001038569,5948.427009,0.002846623,14204.63271,
262,0.000247864,0.104030491,0.039530164,0.02907804,0.016274165,0.00798291,0.021690954,219729.0753,138.9656463,14212.08502,
256,0.132178409,6.58E-09,1.49E-09,0.064731438,0.027416371,0.019736156,0.009985652,182215.6817,6821789208,14231.54756,
181,0.023134699,0.022494984,0.131587186,0.001963001,0.019755822,0.308153069,0.198297458,91.63358719,83.51399175,14234.03096,
432,0.14794726,0.010685991,0.032497756,2.37E-06,0.01519091,0.051570424,0.028957793,0.002339797,552087.1683,14269.98234,
316,0.009417012,0.009786926,0.199329532,0.003276625,0.026379437,0.388693325,0.217076254,440.8680751,0.922344782,14346.74816,
241,0.404562225,4.45E-07,0.20228803,0.026468267,0.028350312,0.161212445,0.036159492,77712.09808,2.09216816,14348.31802,
421,0.004078781,0.013240029,0.247758975,0.000144049,0.035387366,0.292934804,0.092472424,1671.547047,0.553598295,14406.19165,
158,0.113386995,0.025319205,0.000728831,0.032098053,0.022617207,0.074939017,0.093258758,855.7014867,278.3427194,14415.40853,
96,0.020787356,0.22002457,0.073163903,0.17264441,0.021815843,0.019023275,0.001306401,0.453859221,363304.4995,14422.72562,
409,0.003333361,0.090952911,0.214820999,0.036668771,0.011378832,0.000306468,0.012128251,168.1473268,12916708.37,14427.52964,
438,0.139724754,0.015543436,0.184211063,1.81E-05,0.020505021,0.597613345,0.333280744,399.8081112,98.47200039,14427.7554,
120,0.00748892,0.230497998,0.132207418,1.56E-07,0.010361415,0.045032553,0.039976751,1.00982E+15,3.44E-18,14428.87654,
275,0.025518275,0.057847469,0.005606362,0.104612583,0.021619298,0.085330211,0.086617937,116152.1592,0.42502765,14494.98793,
191,0.003798768,0.125949652,0.008114124,0.126766829,0.018550678,0.078093475,0.081048462,4725.979314,7.707437628,14505.67091,
459,0.265699132,0.00640488,2.32E-07,0.026237835,0.043089271,0.075572311,0.066839442,1270.508425,2599.953565,14514.73564,
86,0.185772112,0.000740269,0.12836731,0.013803753,0.026360636,0.604733187,0.325747209,38.05736089,22.09304337,14519.75489,
10,0.261847741,0.024598916,0.025282331,6.44E-07,0.017920737,0.054303362,0.03185,1.170976977,412724970.9,14532.07609,
217,0.001451117,0.10548878,0.004367834,0.145951734,0.019781625,0.110699875,0.119144099,136.8654581,5.705013495,14545.52401,
141,0.00377758,0.098149809,0.001681171,0.116278938,0.021359873,0.097877001,0.098974593,5944.114362,3.627946423,14559.45595,
327,0.011651972,0.052261468,0.001354029,0.101001362,0.021533155,0.137307304,0.144668426,6568.186978,323.4118993,14559.92262,
343,0.006643011,0.022166164,0.220547234,0.012364959,0.018745972,0.549303488,0.310627854,1120.847439,3.94E-08,14564.52078,
494,0.002592881,0.121836748,0.002072911,0.158051393,0.01985945,0.093761711,0.101175227,4577.486025,3340.052165,14564.5811,
471,0.09983104,0.0004842,0.16190138,0.013267786,0.018461562,0.752171536,0.592882904,13.44330999,17.84839761,14571.44076,
406,0.263830466,0.007927464,0.060123959,0.069967509,0.017819847,0.21840413,0.130905189,4799.477359,1.125683681,14579.11118,
65,0.019653491,0.014923303,0.114123102,0.041586027,0.030814695,0.20494069,0.231749531,27202.33648,8.802357804,14582.64924,
446,0.053256057,0.011899376,0.148429792,0.000117598,0.019903279,0.88476867,0.726691356,7.095092664,20.31792434,14585.89596,
73,0.022072395,2.85E-05,0.081413618,0.068656574,0.021411421,0.152137816,0.210309405,6781.340688,34.97353509,14593.19388,
195,0.118798621,0.025865335,0.002598411,0.04241274,0.02124371,0.179046264,0.181044649,6263.716068,0.136715757,14605.0636,
228,0.002411944,0.081100508,8.32E-06,0.120920404,0.019759469,0.120040646,0.123986575,2687050.363,200.0715699,14609.13551,
291,0.00795018,0.005189392,0.06741958,0.081109829,0.024380538,0.225414609,0.187341931,18446.60172,13.60588185,14614.15867,
340,0.110902188,0.004201419,0.000269664,0.057012003,0.024409899,0.25349501,0.189381876,0.450760647,4.91323357,14617.41284,
344,0.07398545,0.011759668,0.081911321,0.036279988,0.02757143,0.394832597,0.42955185,57.1103447,57.61394706,14634.88503,
13,0.188117556,4.41E-05,6.10E-06,0.035882559,0.031212272,0.121341597,0.092889408,450.3520183,3044974.506,14634.91459,
317,0.07258764,0.008301852,0.195947245,0.003148574,0.018117385,0.485522617,0.273194488,0.006836621,35244.65958,14638.40011,
20,0.090087133,4.29E-06,2.95E-08,0.103437039,0.026726915,0.108070456,0.095009989,14198.85357,87038.43237,14640.42668,
461,0.006668332,0.03071332,0.112689419,0.004406324,0.024790561,0.692740195,0.543130381,49.89822289,512.0217127,14644.86612,
143,0.05165568,0.034539665,0.137170849,0.028129192,0.024067013,0.567814011,0.49365027,55.56907755,8.009642739,14663.62914,
236,0.079835094,0.000406577,0.119381494,0.011346534,0.020929273,1.39017957,1.05055132,880.3497731,2.351777283,14665.02653,
359,0.242580365,0.255368577,0.11944669,0.268293586,0.026359475,0.008837724,0.000876666,190.8630343,43980.83718,14667.06567,
135,0.069571119,3.66E-08,0.003303478,0.077295965,0.017424056,0.304352066,0.252785603,14614408,9.30E-05,14667.53096,
194,0.006047404,0.072425182,0.002256007,0.113572894,0.021221845,0.103243419,0.094196622,0.000455338,60.19829798,14684.66002,
257,1.17E-05,0.077764282,0.006113712,0.105842743,0.02045803,0.238671442,0.252406259,96694736.47,0.110598126,14692.6386,
77,0.006519576,0.008968407,0.173648496,0.012010194,0.024399822,0.92915351,0.556232674,2051.124073,3.082274906,14693.80515,
380,0.002424691,0.124464011,0.135227746,0.006689346,0.013852261,0.174092116,0.152591405,52.38419787,2201.407046,14703.9222,
48,0.043789897,0.001113331,0.111033552,0.023261616,0.022936493,1.270902989,0.931756742,173.1750954,1.810455881,14709.38569,
261,0.088980607,0.013882057,0.171367634,0.003856788,0.0190263,1.673329819,1.177667086,51.36145056,0.335975078,14722.01923,
11,0.036398287,0.016744001,0.131907037,0.113761884,0.015844515,0.314312328,0.225851013,73.80337902,0.904023636,14724.64553,
