Simulation_number,lambda0,lambda1,mu0,mu1,rho0,rho1,q01,q10,e0,e1,nloglike,Comments
454,0.169589272,0.007250479,0.108713861,0.003406012,0.041694415,0.013326543,0.347934658,0.120950649,4.328880709,13027.93187,14299.35862,
129,51.60544576,0.008265775,56.28448585,0.018931682,0.013620937,0.009057609,0.016681999,0.011938493,3115.360026,53.19257912,14320.57579,
74,0.006650333,0.014244235,0.196287585,1.56E-07,0.070097538,0.014324623,0.586916431,0.172157943,69913.96375,369.3557522,14337.87699,
13,0.026070583,3.80E-07,0.163184327,2.09E-05,0.062567716,0.005187498,0.695295317,0.449991549,1.56423E+14,1.86E-06,14338.53454,
209,0.004133471,0.196637947,0.05368958,0.169265121,0.056838492,0.008308621,0.032923143,0.018025369,0.502932837,313.5192004,14353.65923,
365,0.11995274,0.26921087,0.005771186,0.188837948,0.03353312,0.004105288,0.014803942,0.002281377,368.7017914,20.79404249,14353.76518,
259,2.986047862,0.004259249,3.096754099,0.011622418,0.000460643,0.033573473,0.011377926,0.027136889,815.9538999,243.3946979,14383.61719,
89,0.524777178,3.53E-05,0.586064338,2.57E-07,0.066736883,0.003143674,0.027741904,0.000980171,0.032512311,562.4461702,14383.73997,
107,0.104704636,0.366841527,0.018605315,0.298812316,0.036723298,0.005746425,0.006545275,0.005210053,20.9682452,2.3931037,14387.53657,
446,0.188253287,0.000144102,0.231420947,0.000906889,0.054123593,0.002026535,0.893766153,0.441492231,6403.251743,22477.75739,14387.66997,
99,0.126395237,0.002106808,0.183070698,0.000508342,0.058328788,0.00740268,1.034052721,0.384152449,195333.914,24303.99366,14391.96122,
121,0.26050327,0.00187808,0.332246543,0.009092293,0.020203461,0.013679645,0.552227286,0.233289992,653.0584225,5.468246105,14443.89335,
375,0.210654242,0.017169699,0.425960171,1.92E-06,0.171512556,1.26E-05,0.417874685,0.086151669,3.7673E+11,0.001887477,14445.59952,
135,0.05257489,0.003901688,0.10965078,0.008250879,0.052738501,0.020694111,0.561386319,0.289539047,0.043044006,8.335028578,14458.27675,
222,0.154389848,0.24889578,0.093776318,0.219878778,0.025916291,0.001786848,0.018772739,0.000231613,386.8632275,20892.70841,14478.3423,
283,0.225938657,0.007402464,0.031037742,0.046285269,0.01708544,0.019150546,0.201100689,0.104029256,837424.9849,1.3117612,14480.09267,
221,0.048832157,0.019800005,0.009607399,0.068268864,0.083085726,1.27E-06,0.050422129,0.02273304,495.336628,32.36046098,14491.19338,
160,0.120540602,0.013704701,0.006649343,0.071626657,0.004566483,0.028948164,0.173940474,0.122478715,2.62531E+15,1.84E-05,14507.98169,
319,22.34302186,0.060067069,24.14301745,0.003887749,0.010759523,0.011125968,0.020299768,0.005155024,32.87100439,1.974083115,14511.96209,
420,0.000185182,0.039472716,0.152100069,0.042182003,0.045577328,0.009447374,0.376331642,0.155846985,15152.9339,27.71363926,14512.05477,
65,31.55763774,6.20E-05,34.12602451,2.89E-07,0.010423609,0.013138637,0.043321963,0.020533631,99486624773,0.085784935,14518.40729,
134,0.482185431,0.087378487,0.571458261,0.01787712,0.058999228,0.008849043,8.20E-07,0.014795127,4846101543,4.32E-10,14534.92985,
486,0.064153473,0.003295745,0.138429704,0.003418915,0.060501819,0.004722475,0.905810177,0.594467065,0.035331984,77.39064806,14550.68567,
497,0.214568222,0.001647845,0.182505547,4.81E-06,0.086751423,0.008054144,0.891048245,0.44312084,276342877.6,37.40678963,14557.04156,
27,0.003957003,0.064689706,0.000153624,0.125257387,0.009411703,0.033989917,0.150119338,0.181744222,1275.010236,17.1677016,14562.13025,
